bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	bcr_shipment_portion_uuid	center_id	is_ffpe	plate_id	portion_number	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment
CDE_ID:2673864				CDE_ID:4170557					
TCGA-90-7766-01A	TCGA-90-7766-01A-23-2195-20	dd8497bc-44e4-4128-80b0-64b3ca838c64	20	NO	2195	23	5	3	2012
TCGA-90-7767-01A	TCGA-90-7767-01A-13-2195-20	4a4135f8-825b-457a-a65c-edf07e0215cb	20	NO	2195	13	5	3	2012
TCGA-90-7769-01A	TCGA-90-7769-01A-13-2195-20	71d2cccb-ba7a-47f2-96d0-11b7b3f0c20f	20	NO	2195	13	5	3	2012
TCGA-94-7557-01A	TCGA-94-7557-01A-13-2195-20	b55c5cd9-2ac9-4b08-bebd-acd943bf9521	20	NO	2195	13	5	3	2012
TCGA-85-7950-01A	TCGA-85-7950-01A-13-2195-20	a454299d-b074-4dd9-adf3-3e48f4473543	20	NO	2195	13	5	3	2012
TCGA-94-7943-01A	TCGA-94-7943-01A-13-2195-20	78584fca-e293-47bf-b2a0-bcaa476544a7	20	NO	2195	13	5	3	2012
TCGA-21-1070-01A	TCGA-21-1070-01A-21-2193-20	c31cbb43-8115-476d-94eb-969f05a749ce	20	NO	2193	21	5	3	2012
TCGA-21-1071-01A	TCGA-21-1071-01A-21-2193-20	d9fa8294-49b1-4474-bbfb-ffdf6d807382	20	NO	2193	21	5	3	2012
TCGA-21-1072-01A	TCGA-21-1072-01A-21-2193-20	7ba5ebaa-df07-4f54-8721-67523cfddc60	20	NO	2193	21	5	3	2012
TCGA-21-1075-01A	TCGA-21-1075-01A-21-2193-20	11303d09-57ac-4b08-a3a4-efddc42857a3	20	NO	2193	21	5	3	2012
TCGA-21-1076-01A	TCGA-21-1076-01A-41-2193-20	865ca095-4591-4ca4-8237-a31e6481ccca	20	NO	2193	41	5	3	2012
TCGA-21-1078-01A	TCGA-21-1078-01A-21-2193-20	7c470e40-177f-45c5-96bc-e826294882c5	20	NO	2193	21	5	3	2012
TCGA-21-1079-01A	TCGA-21-1079-01A-21-2193-20	9af4adc0-d07e-4e5d-a656-cfb61bfa2c82	20	NO	2193	21	5	3	2012
TCGA-21-1080-01A	TCGA-21-1080-01A-21-2193-20	19c9ff90-4114-44a5-97be-310997f17334	20	NO	2193	21	5	3	2012
TCGA-21-1081-01A	TCGA-21-1081-01A-21-2193-20	2d90e6b8-02bf-4665-9803-285243e1ba55	20	NO	2193	21	5	3	2012
TCGA-21-1082-01A	TCGA-21-1082-01A-21-2193-20	cc44dbbd-5a78-4440-82b5-a2c2d6ef4d7c	20	NO	2193	21	5	3	2012
TCGA-21-1083-01A	TCGA-21-1083-01A-21-2193-20	3e8610c1-5e34-4ea1-ad30-37225b06e71a	20	NO	2193	21	5	3	2012
TCGA-22-0940-01A	TCGA-22-0940-01A-21-2193-20	3d8cb3f0-482e-4acd-bb89-e8530456cd3c	20	NO	2193	21	5	3	2012
TCGA-22-1000-01A	TCGA-22-1000-01A-21-2193-20	10ac4555-d3e6-4d70-a6ca-2253c0e92de1	20	NO	2193	21	5	3	2012
TCGA-22-1011-01A	TCGA-22-1011-01A-31-2193-20	fcc5d2fc-0775-4e47-9ded-959aba2b92f5	20	NO	2193	31	5	3	2012
TCGA-34-2596-01A	TCGA-34-2596-01A-21-2193-20	9d1b859e-95d7-43d1-b71a-c0a0c240ccda	20	NO	2193	21	5	3	2012
TCGA-34-2604-01A	TCGA-34-2604-01A-21-2193-20	cf27663d-6ff3-4102-948c-c0c712af54d0	20	NO	2193	21	5	3	2012
TCGA-34-2605-01A	TCGA-34-2605-01A-21-2193-20	79a77711-5efb-4811-9e36-c6823526a48a	20	NO	2193	21	5	3	2012
TCGA-34-2608-01A	TCGA-34-2608-01A-11-2193-20	f3b4f474-f6b9-47aa-bcf8-a06304109a51	20	NO	2193	11	5	3	2012
TCGA-34-2609-01A	TCGA-34-2609-01A-21-2193-20	ce27724e-e32d-4576-a458-17ee97966504	20	NO	2193	21	5	3	2012
TCGA-43-2578-01A	TCGA-43-2578-01A-21-2193-20	8533dc60-fcd4-4b70-af5d-624df2d66eb2	20	NO	2193	21	5	3	2012
TCGA-43-2581-01A	TCGA-43-2581-01A-21-2193-20	25c27349-3d97-4602-aa07-8187a7c97788	20	NO	2193	21	5	3	2012
TCGA-60-2695-01A	TCGA-60-2695-01A-21-2193-20	ec5712a3-b8ad-4fad-a544-e815bffacece	20	NO	2193	21	5	3	2012
TCGA-60-2696-01A	TCGA-60-2696-01A-21-2193-20	3a198ed8-723a-4655-8fb2-74e042bea193	20	NO	2193	21	5	3	2012
TCGA-60-2698-01A	TCGA-60-2698-01A-21-2193-20	f57a7f9b-23c2-4a93-9322-9df5bc51eb99	20	NO	2193	21	5	3	2012
TCGA-60-2706-01A	TCGA-60-2706-01A-21-2193-20	ef42af10-10c8-4c5f-92f7-aa8fec60634a	20	NO	2193	21	5	3	2012
TCGA-60-2708-01A	TCGA-60-2708-01A-21-2193-20	64455e1c-360e-4627-8c8a-55c27c7705c3	20	NO	2193	21	5	3	2012
TCGA-60-2710-01A	TCGA-60-2710-01A-21-2193-20	fe48e710-052c-48da-a9ba-7705e7451700	20	NO	2193	21	5	3	2012
TCGA-60-2711-01A	TCGA-60-2711-01A-21-2193-20	00a75e05-8928-432f-ae8f-3acbb88a182b	20	NO	2193	21	5	3	2012
TCGA-60-2712-01A	TCGA-60-2712-01A-21-2193-20	048d4992-bd37-46bb-97c0-7cfaf69cc61d	20	NO	2193	21	5	3	2012
TCGA-60-2713-01A	TCGA-60-2713-01A-21-2193-20	aef657e5-4555-4842-946a-7883c8f8b362	20	NO	2193	21	5	3	2012
TCGA-60-2714-01A	TCGA-60-2714-01A-21-2193-20	089deb86-da03-40f6-83c0-c6cc33a47ab3	20	NO	2193	21	5	3	2012
TCGA-60-2716-01A	TCGA-60-2716-01A-21-2193-20	b1371353-26af-4c41-b52e-dc7a0848ec98	20	NO	2193	21	5	3	2012
TCGA-60-2719-01A	TCGA-60-2719-01A-21-2193-20	7d294b6d-9ac2-4e67-a2e0-5a7530db840c	20	NO	2193	21	5	3	2012
TCGA-60-2720-01A	TCGA-60-2720-01A-21-2193-20	2c8e7971-12b3-4301-856d-38e55ed745d5	20	NO	2193	21	5	3	2012
TCGA-60-2721-01A	TCGA-60-2721-01A-21-2193-20	d292d1eb-ee65-4573-8662-faedf11fa9ad	20	NO	2193	21	5	3	2012
TCGA-60-2724-01A	TCGA-60-2724-01A-21-2193-20	ec285ff7-4d23-4739-9946-065f534d6fe8	20	NO	2193	21	5	3	2012
TCGA-60-2726-01A	TCGA-60-2726-01A-21-2193-20	49bf0bf2-031f-4d67-83a4-abc14322c298	20	NO	2193	21	5	3	2012
TCGA-66-2758-01A	TCGA-66-2758-01A-11-2193-20	4dda1522-0094-4b54-b413-ad6d92df3ad9	20	NO	2193	11	5	3	2012
TCGA-66-2766-01A	TCGA-66-2766-01A-21-2193-20	ba82b423-e845-4d6f-b8bf-aa44344e0e2e	20	NO	2193	21	5	3	2012
TCGA-66-2767-01A	TCGA-66-2767-01A-21-2193-20	2046ba58-db49-44ba-b6ae-fb9eee38a211	20	NO	2193	21	5	3	2012
TCGA-66-2768-01A	TCGA-66-2768-01A-21-2193-20	28068872-a9b1-4e43-b5a4-92d1cdd03408	20	NO	2193	21	5	3	2012
TCGA-66-2769-01A	TCGA-66-2769-01A-11-2193-20	5de8582a-34f9-4ea2-943d-bf46f07c06e0	20	NO	2193	11	5	3	2012
